state_name,report_date,Medicaid_Enrollment
Montana,07/01/2020,259433
Nebraska,07/01/2020,261168
Nevada,07/01/2020,695931
New Hampshire,07/01/2020,197601
New Jersey,07/01/2020,1806736
New Mexico,07/01/2020,782159
New York,07/01/2020,6349834
North Carolina,07/01/2020,1900966
North Dakota,07/01/2020,98657
Ohio,07/01/2020,2819633
Oklahoma,07/01/2020,809286
Oregon,07/01/2020,1069272
Pennsylvania,07/01/2020,3149552
Rhode Island,07/01/2020,309281
South Carolina,07/01/2020,1077781
South Dakota,07/01/2020,115715
Tennessee,07/01/2020,1512194
Texas,07/01/2020,4531429
Utah,07/01/2020,349201
Vermont,07/01/2020,163055
Virginia,07/01/2020,1529228
Washington,07/01/2020,1811777
West Virginia,07/01/2020,538836
Wisconsin,07/01/2020,1137130
Wyoming,07/01/2020,61603
United States,08/01/2020,76755495
Alabama,08/01/2020,967364
Alaska,08/01/2020,235261
Arizona,08/01/2020,1887382
Arkansas,08/01/2020,849875
California,08/01/2020,12116855
Colorado,08/01/2020,1377505
Connecticut,08/01/2020,893114
Delaware,08/01/2020,246249
District of Columbia,08/01/2020,254885
Florida,08/01/2020,3977970
Georgia,08/01/2020,1998686
Hawaii,08/01/2020,363098
Idaho,08/01/2020,354061
Illinois,08/01/2020,3070572
Indiana,08/01/2020,1499069
Iowa,08/01/2020,719759
Kansas,08/01/2020,411170
Kentucky,08/01/2020,1498803
Louisiana,08/01/2020,1628938
Maine,08/01/2020,295180
Maryland,08/01/2020,1405507
Massachusetts,08/01/2020,1665288
Michigan,08/01/2020,2520764
Minnesota,08/01/2020,1122557
Mississippi,08/01/2020,654004
Missouri,08/01/2020,969786
Montana,08/01/2020,262233
Nebraska,08/01/2020,265903
Nevada,08/01/2020,709191
New Hampshire,08/01/2020,200566
New Jersey,08/01/2020,1831632
New Mexico,08/01/2020,790138
New York,08/01/2020,6435565
North Carolina,08/01/2020,1924876
North Dakota,08/01/2020,103212
Ohio,08/01/2020,2851221
Oklahoma,08/01/2020,823588
Oregon,08/01/2020,1082875
Pennsylvania,08/01/2020,3184383
Rhode Island,08/01/2020,312577
South Carolina,08/01/2020,1089141
South Dakota,08/01/2020,117303
Tennessee,08/01/2020,1527568
Texas,08/01/2020,4590128
Utah,08/01/2020,362753
Vermont,08/01/2020,165203
Virginia,08/01/2020,1549215
Washington,08/01/2020,1834211
West Virginia,08/01/2020,545421
Wisconsin,08/01/2020,1150453
Wyoming,08/01/2020,62437
United States,09/01/2020,77569435
Alabama,09/01/2020,976361
Alaska,09/01/2020,236362
Arizona,09/01/2020,1903428
Arkansas,09/01/2020,860822
California,09/01/2020,12212599
Colorado,09/01/2020,1396635
Connecticut,09/01/2020,900777
Delaware,09/01/2020,248868
District of Columbia,09/01/2020,256300
Florida,09/01/2020,4006720
Georgia,09/01/2020,2022154
Hawaii,09/01/2020,368093
Idaho,09/01/2020,359001
Illinois,09/01/2020,3110583
Indiana,09/01/2020,1521704
Iowa,09/01/2020,727249
Kansas,09/01/2020,416862
Kentucky,09/01/2020,1527535
Louisiana,09/01/2020,1647878
Maine,09/01/2020,298620
Maryland,09/01/2020,1418225
Massachusetts,09/01/2020,1684294
Michigan,09/01/2020,2552592
Minnesota,09/01/2020,1134193
Mississippi,09/01/2020,661557
Missouri,09/01/2020,984496
Montana,09/01/2020,265098
Nebraska,09/01/2020,269583
Nevada,09/01/2020,722616
New Hampshire,09/01/2020,203242
New Jersey,09/01/2020,1852379
New Mexico,09/01/2020,794755
New York,09/01/2020,6492326
North Carolina,09/01/2020,1946535
North Dakota,09/01/2020,102459
Ohio,09/01/2020,2881716
Oklahoma,09/01/2020,833734
Oregon,09/01/2020,1096491
Pennsylvania,09/01/2020,3212864
Rhode Island,09/01/2020,315723
South Carolina,09/01/2020,1098884
South Dakota,09/01/2020,118950
Tennessee,09/01/2020,1540767
Texas,09/01/2020,4646049
Utah,09/01/2020,371265
Vermont,09/01/2020,166727
Virginia,09/01/2020,1568142
Washington,09/01/2020,1849899
West Virginia,09/01/2020,551152
Wisconsin,09/01/2020,1170926
Wyoming,09/01/2020,63245
United States,10/01/2020,78322359
Alabama,10/01/2020,985152
Alaska,10/01/2020,237786
Arizona,10/01/2020,1924686
Arkansas,10/01/2020,870347
California,10/01/2020,12298138
Colorado,10/01/2020,1414220
Connecticut,10/01/2020,909492
Delaware,10/01/2020,251502
District of Columbia,10/01/2020,258225
Florida,10/01/2020,4037892
Georgia,10/01/2020,2042331
Hawaii,10/01/2020,373407
Idaho,10/01/2020,363581
Illinois,10/01/2020,3134159
Indiana,10/01/2020,1544371
Iowa,10/01/2020,733919
Kansas,10/01/2020,422096
Kentucky,10/01/2020,1529234
Louisiana,10/01/2020,1662798
Maine,10/01/2020,303962
Maryland,10/01/2020,1430094
Massachusetts,10/01/2020,1702326
Michigan,10/01/2020,2582138
Minnesota,10/01/2020,1146104
Mississippi,10/01/2020,668135
Missouri,10/01/2020,996487
Montana,10/01/2020,267747
Nebraska,10/01/2020,287089
Nevada,10/01/2020,734234
New Hampshire,10/01/2020,205690
New Jersey,10/01/2020,1871979
New Mexico,10/01/2020,801499
New York,10/01/2020,6546581
North Carolina,10/01/2020,1966663
North Dakota,10/01/2020,106177
Ohio,10/01/2020,2910145
Oklahoma,10/01/2020,844213
Oregon,10/01/2020,1109661
Pennsylvania,10/01/2020,3242930
Rhode Island,10/01/2020,318399
South Carolina,10/01/2020,1108363
South Dakota,10/01/2020,120430
